split,class_name,label_kind,samples,felz_raw_coverage,felz_boundary_coverage,felz_colored_coverage,avg_variants
test,BACT,disease,134,0,0,0,0.0
test,DML,disease,82,0,0,0,0.0
test,HLTY,healthy,113,0,0,0,0.0
test,PML,disease,187,0,0,0,0.0
test,SBL,disease,198,0,0,0,0.0
test,SPW,disease,111,0,0,0,0.0
test,VIRL,disease,300,0,0,0,0.0
test,WLBL,disease,520,0,0,0,0.0
train,BACT,disease,1064,1064,1064,1064,2.0
train,DML,disease,655,655,655,655,2.0
train,HLTY,healthy,898,894,894,894,1.0412026726057906
train,PML,disease,1489,1489,1489,1489,1.0
train,SBL,disease,1578,1578,1578,1578,1.0
train,SPW,disease,884,884,884,884,1.0
train,VIRL,disease,2394,2394,2394,2394,1.0
train,WLBL,disease,4156,4156,4156,4156,1.0
validation,BACT,disease,133,0,0,0,0.0
validation,DML,disease,82,0,0,0,0.0
validation,HLTY,healthy,112,0,0,0,0.0
validation,PML,disease,186,0,0,0,0.0
validation,SBL,disease,197,0,0,0,0.0
validation,SPW,disease,111,0,0,0,0.0
validation,VIRL,disease,299,0,0,0,0.0
validation,WLBL,disease,520,0,0,0,0.0
